=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     letter
Instances:    16000
Attributes:   17
              x-box
              y-box
              width
              high
              onpix
              x-bar
              y-bar
              x2bar
              y2bar
              xybar
              x2ybr
              xy2br
              x-ege
              xegvy
              y-ege
              yegvx
              class
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 9.4 seconds

=== Predictions on test data ===

    inst#     actual  predicted error prediction
        1       18:R       18:R       1 
        2       18:R       18:R       0.95 
        3       18:R       18:R       0.99 
        4       18:R       18:R       0.73 
        5       18:R       18:R       0.91 
        6       18:R       18:R       0.95 
        7       18:R       18:R       0.96 
        8       18:R       18:R       0.99 
        9       18:R       18:R       1 
       10       18:R       18:R       0.99 
       11       18:R       18:R       0.59 
       12       18:R       18:R       0.37 
       13       18:R       18:R       0.77 
       14       18:R       11:K   +   0.34 
       15       18:R       18:R       0.95 
       16       18:R       18:R       0.66 
       17       18:R       18:R       1 
       18       18:R       18:R       0.85 
       19       18:R       18:R       0.94 
       20       18:R       18:R       1 
       21       18:R       18:R       0.69 
       22       18:R       18:R       1 
       23       18:R        2:B   +   0.37 
       24       18:R       18:R       1 
       25       18:R       18:R       0.43 
       26       18:R       18:R       0.97 
       27       18:R       18:R       1 
       28       18:R       18:R       0.87 
       29       18:R       18:R       0.91 
       30       18:R       18:R       0.72 
       31       18:R       18:R       0.86 
       32       18:R       18:R       0.93 
       33       18:R       18:R       0.78 
       34       18:R       18:R       0.53 
       35       18:R       18:R       0.91 
       36       18:R       18:R       1 
       37       18:R       18:R       0.99 
       38       18:R       18:R       0.29 
       39       18:R       18:R       0.77 
       40       18:R       11:K   +   0.37 
       41       18:R       24:X   +   0.16 
       42       18:R       18:R       0.99 
       43       18:R       18:R       0.38 
       44       18:R       18:R       0.95 
       45       18:R       18:R       0.74 
       46       18:R       18:R       0.94 
       47       18:R       18:R       0.55 
       48       18:R       18:R       0.57 
       49       18:R       18:R       0.89 
       50       18:R       18:R       0.98 
       51       18:R       18:R       0.64 
       52       18:R       18:R       0.99 
       53       18:R       18:R       1 
       54       18:R       18:R       0.65 
       55       18:R       18:R       0.98 
       56       18:R       18:R       0.69 
       57       18:R       18:R       0.87 
       58       18:R       18:R       0.6 
       59       18:R       18:R       0.33 
       60       18:R       13:M   +   0.3 
       61       18:R       18:R       0.91 
       62       16:P       16:P       0.97 
       63       16:P       16:P       1 
       64       16:P       16:P       0.91 
       65       16:P       16:P       1 
       66       16:P       16:P       1 
       67       16:P       16:P       0.99 
       68       16:P       16:P       0.81 
       69       16:P       16:P       0.66 
       70       16:P       16:P       1 
       71       16:P       16:P       0.51 
       72       16:P       16:P       0.98 
       73       16:P       16:P       1 
       74       16:P       16:P       1 
       75       16:P       16:P       0.29 
       76       16:P       16:P       1 
       77       16:P       16:P       0.94 
       78       16:P       16:P       0.49 
       79       16:P       16:P       0.98 
       80       16:P       16:P       0.65 
       81       16:P       16:P       0.55 
       82       16:P       16:P       0.53 
       83       16:P       16:P       0.93 
       84       16:P       16:P       0.87 
       85       16:P       16:P       0.91 
       86       16:P       16:P       1 
       87       16:P       16:P       0.17 
       88       16:P       16:P       1 
       89       16:P       16:P       0.38 
       90       16:P       16:P       0.99 
       91       16:P       16:P       0.84 
       92       16:P       16:P       0.73 
       93       16:P       16:P       0.93 
       94       16:P       16:P       0.98 
       95       16:P       16:P       0.73 
       96       16:P       16:P       0.71 
       97       16:P       16:P       0.63 
       98       16:P       16:P       0.87 
       99       16:P       16:P       0.97 
      100       16:P       16:P       1 
      101       16:P       16:P       0.99 
      102       16:P       16:P       1 
      103       16:P       16:P       1 
      104       16:P       16:P       0.55 
      105       16:P       16:P       0.96 
      106       16:P       16:P       0.96 
      107       16:P       16:P       1 
      108       16:P       16:P       1 
      109       16:P       16:P       0.98 
      110       16:P       16:P       1 
      111       16:P       16:P       0.54 
      112       16:P       16:P       0.99 
      113       16:P       16:P       0.48 
      114       16:P       16:P       0.27 
      115       16:P       16:P       0.73 
      116       16:P       16:P       0.39 
      117       16:P       16:P       1 
      118       16:P       16:P       1 
